ARS,Category,Parameter,Units,Measurement Range (Units),Measurement Resolution (Units),Measurement Min Sample Rate (N/hr),Set Point (Units),Settling Time (seconds),Actuation Time (seconds),"Ideal Min, Plant","Ideal Max, Plant","Tolerable Min, Plant","Tolerable Max, Plant","Ideal Min, Germ","Ideal Max, Germ","Tolerable Min, Germ","Tolerable Max, Germ",Yellow Action,Red Action (Out of Tolerance),Lower Value Limit,Upper Value Limit,Comments,Sources
3.2,Internal Atmosphere,Supplemental Light Spect.,nm,400 - 800,5,n/a,n/a,n/a,,400,700,300,800,400,700,300,800,,,n/a,n/a,"Centered on Red and Blue light, or white light is OK too. Not directly measured",http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf
3.3,Internal Atmosphere,Light cycle,hours on,0 - 24,. 2.7e-4,n/a,18,n/a,,18,24,14,24,24,24,Day 0: 24,,,,0,24,1 sec = 2.7e-4 hrs,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf and comments from Ray W. 
3.4,Internal Atmosphere,Daily light integral,mol m-2 d,n/a,1,n/a,17,n/a,,15,20,13,23,22,24,20,24,,,0,50,Calculated as PAR (µmol.m-2.s-1) x 0.0864,
4.1,External Atmosphere,'Air' Termperature,C, -153 to 20,1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,0,50,Martian coldest temp in winter to highest temp in summer,http://quest.nasa.gov/aero/planetary/mars.html
4.2,External Atmosphere,'Air' Pressure',kPa,0.375 to 1.125,0.1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Mars avg pressure 7.5milibars +- 50% variation,http://quest.nasa.gov/aero/planetary/mars.html
4.3,External Atmosphere,Solar Irradiance,μmol m-2 s-1,0 - 2000,2,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Darkness to noontime high,http://quest.nasa.gov/aero/planetary/mars.html
4.4,External Atmosphere,Humidity,%,0 - 100,1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Max nightime martian humidity is 100%,http://quest.nasa.gov/aero/planetary/mars.html
4.5,External Atmosphere,O2 Partial Pressure,kPa,0-35.0,0.1,n/a,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,shall not be measured directly due to microprocessor limitations -  consider for future enhancement,
4.6,External Atmosphere,CO2 Partial Pressure,kPa,0-2.0,0.001,n/a,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,shall not be measured directly due to microprocessor limitations -  consider for future enhancement,
5.1,Internal Atmosphere,Ethelyne et al. ,ppb,n/a,n/a,n/a,n/a,n/a,,,<25,,n/a,,<25,,n/a,,,n/a,n/a,shall not be measured directly,Dr. Ray Wheeler talk 9/29/2014
5.2,Internal Atmosphere,Plant Image,RGB,1 to 255,>1000x1000,1,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,,
